=== TRAIN オノマトペデータセット合成ログ ===
生成時刻: 2025-10-29 18:30:14
目標画像数: 400
      クロップサイズ: 425x1159
      最終サイズ: 20x56
      配置位置: (642,616)
      スケール: 0.000740
      スケール比: 0.0130
    オノマトペ2: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 27x76
      配置位置: (610,887)
      スケール: 0.001330
      スケール比: 0.0176
    オノマトペ3: 040.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 66x28
      配置位置: (130,922)
      スケール: 0.001187
      スケール比: 0.0430
    オノマトペ4: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 24x69
      配置位置: (833,918)
      スケール: 0.001076
      スケール比: 0.0156
    オノマトペ5: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 25x46
      配置位置: (744,687)
      スケール: 0.000759
      スケール比: 0.0163

画像 390.png:
  背景ファイル: 058.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 42x80
      配置位置: (229,584)
      スケール: 0.002168
      スケール比: 0.0273
    オノマトペ2: 061.png
      元サイズ: 1024x1536
      クロップサイズ: 391x1047
      最終サイズ: 53x141
      配置位置: (1024,123)
      スケール: 0.004787
      スケール比: 0.0345
    オノマトペ3: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 74x42
      配置位置: (1068,680)
      スケール: 0.002026
      スケール比: 0.0482
    オノマトペ4: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 122x95
      配置位置: (1188,793)
      スケール: 0.007428
      スケール比: 0.0794

画像 391.png:
  背景ファイル: 059.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 19x40
      配置位置: (483,957)
      スケール: 0.000500
      スケール比: 0.0124
    オノマトペ2: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 24x54
      配置位置: (866,223)
      スケール: 0.000863
      スケール比: 0.0156
    オノマトペ3: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 48x92
      配置位置: (295,109)
      スケール: 0.002863
      スケール比: 0.0312
    オノマトペ4: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 31x24
      配置位置: (358,219)
      スケール: 0.000500
      スケール比: 0.0202
    オノマトペ5: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 104x40
      配置位置: (562,450)
      スケール: 0.002655
      スケール比: 0.0677
    オノマトペ6: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 31x91
      配置位置: (836,260)
      スケール: 0.001829
      スケール比: 0.0202
    オノマトペ7: 010.png
      元サイズ: 1536x1024
      クロップサイズ: 1090x493
      最終サイズ: 66x30
      配置位置: (1207,57)
      スケール: 0.001277
      スケール比: 0.0430
    オノマトペ8: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 96x24
      配置位置: (1004,546)
      スケール: 0.001471
      スケール比: 0.0625
    オノマトペ9: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 34x38
      配置位置: (767,716)
      スケール: 0.000845
      スケール比: 0.0221
    オノマトペ10: 037.png
      元サイズ: 1024x1024
      クロップサイズ: 851x468
      最終サイズ: 51x28
      配置位置: (231,324)
      スケール: 0.000921
      スケール比: 0.0332
    オノマトペ11: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 74x39
      配置位置: (1117,433)
      スケール: 0.001878
      スケール比: 0.0482
    オノマトペ12: 069.png
      元サイズ: 1024x1024
      クロップサイズ: 420x942
      最終サイズ: 31x71
      配置位置: (972,699)
      スケール: 0.001435
      スケール比: 0.0202
    オノマトペ13: 059.png
      元サイズ: 1024x1536
      クロップサイズ: 453x1037
      最終サイズ: 35x81
      配置位置: (504,284)
      スケール: 0.001829
      スケール比: 0.0228
    オノマトペ14: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 134x75
      配置位置: (296,371)
      スケール: 0.006429
      スケール比: 0.0872
    オノマトペ15: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 19x68
      配置位置: (753,841)
      スケール: 0.000863
      スケール比: 0.0124

画像 392.png:
  背景ファイル: 060.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 6
    オノマトペ1: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 46x17
      配置位置: (1375,245)
      スケール: 0.000533
      スケール比: 0.0299
    オノマトペ2: 040.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 74x31
      配置位置: (518,565)
      スケール: 0.001519
      スケール比: 0.0482
    オノマトペ3: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 22x70
      配置位置: (787,316)
      スケール: 0.001002
      スケール比: 0.0143
    オノマトペ4: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 30x89
      配置位置: (1308,717)
      スケール: 0.001719
      スケール比: 0.0195
    オノマトペ5: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 220x45
      配置位置: (743,924)
      スケール: 0.006321
      スケール比: 0.1432
    オノマトペ6: 056.png
      元サイズ: 1024x1536
      クロップサイズ: 329x1082
      最終サイズ: 22x73
      配置位置: (1403,124)
      スケール: 0.001038
      スケール比: 0.0143

画像 393.png:
  背景ファイル: 061.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 9
    オノマトペ1: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 40x31
      配置位置: (523,308)
      スケール: 0.000813
      スケール比: 0.0260
    オノマトペ2: 049.png
      元サイズ: 1024x1536
      クロップサイズ: 352x915
      最終サイズ: 55x144
      配置位置: (184,842)
      スケール: 0.005096
      スケール比: 0.0358
    オノマトペ3: 010.png
      元サイズ: 1536x1024
      クロップサイズ: 1090x493
      最終サイズ: 49x22
      配置位置: (482,304)
      スケール: 0.000691
      スケール比: 0.0319
    オノマトペ4: 058.png
      元サイズ: 1024x1536
      クロップサイズ: 362x1026
      最終サイズ: 36x103
      配置位置: (430,880)
      スケール: 0.002386
      スケール比: 0.0234
    オノマトペ5: 056.png
      元サイズ: 1024x1536
      クロップサイズ: 329x1082
      最終サイズ: 15x50
      配置位置: (328,937)
      スケール: 0.000500
      スケール比: 0.0098
    オノマトペ6: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 79x40
      配置位置: (898,646)
      スケール: 0.002029
      スケール比: 0.0514
    オノマトペ7: 048.png
      元サイズ: 1024x1536
      クロップサイズ: 378x1050
      最終サイズ: 18x50
      配置位置: (649,900)
      スケール: 0.000584
      スケール比: 0.0117
    オノマトペ8: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 51x177
      配置位置: (1319,416)
      スケール: 0.005757
      スケール比: 0.0332
    オノマトペ9: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 33x93
      配置位置: (69,280)
      スケール: 0.001998
      スケール比: 0.0215

画像 394.png:
  背景ファイル: 062.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 5
    オノマトペ1: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 38x67
      配置位置: (1469,432)
      スケール: 0.001642
      スケール比: 0.0247
    オノマトペ2: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 42x118
      配置位置: (205,844)
      スケール: 0.003231
      スケール比: 0.0273
    オノマトペ3: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 42x108
      配置位置: (328,715)
      スケール: 0.002970
      スケール比: 0.0273
    オノマトペ4: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 18x42
      配置位置: (534,518)
      スケール: 0.000500
      スケール比: 0.0117
    オノマトペ5: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 143x34
      配置位置: (135,360)
      スケール: 0.003138
      スケール比: 0.0931

画像 395.png:
  背景ファイル: 063.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 5
    オノマトペ1: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 114x60
      配置位置: (1313,656)
      スケール: 0.004375
      スケール比: 0.0742
    オノマトペ2: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 83x50
      配置位置: (376,645)
      スケール: 0.002662
      スケール比: 0.0540
    オノマトペ3: 056.png
      元サイズ: 1024x1536
      クロップサイズ: 329x1082
      最終サイズ: 20x66
      配置位置: (908,810)
      スケール: 0.000859
      スケール比: 0.0130
    オノマトペ4: 031.png
      元サイズ: 1024x1024
      クロップサイズ: 818x362
      最終サイズ: 98x43
      配置位置: (1312,139)
      スケール: 0.002704
      スケール比: 0.0638
    オノマトペ5: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 22x67
      配置位置: (6,410)
      スケール: 0.000957
      スケール比: 0.0143

画像 396.png:
  背景ファイル: 064.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 048.png
      元サイズ: 1024x1536
      クロップサイズ: 378x1050
      最終サイズ: 16x46
      配置位置: (1404,420)
      スケール: 0.000500
      スケール比: 0.0104
    オノマトペ2: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 45x17
      配置位置: (654,462)
      スケール: 0.000500
      スケール比: 0.0293
    オノマトペ3: 039.png
      元サイズ: 1536x1024
      クロップサイズ: 1252x434
      最終サイズ: 118x41
      配置位置: (979,894)
      スケール: 0.003092
      スケール比: 0.0768
    オノマトペ4: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
